Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,Shuttle,Cone,Vertical,Broad,Bench
Jahan Dotson,WAS,2022,Combine,71,182,30.75,9.50,4.43,,7.28,36.0,121.0,
Harry Douglas,FA,2008,Pro Day,72,183,,,4.51,4.12,6.86,35.5,,11.0
Dontario Drummond,FA,2022,Combine,73,220,31.50,9.25,4.65,,,34.0,122.0,
David Dudeck,FA,2017,Pro Day,69,195,,,4.68,,6.88,37.5,96.0,15.0
Ashton Dulin,IND,2019,Combine,73,215,33.38,9.00,4.43,4.22,7.00,38.0,121.0,13.0
Malachi Dupre,FA,2017,Pro Day,74,196,31.50,9.00,4.46,,,,,
Travin Dural,FA,2017,Pro Day,74,207,32.00,8.75,4.57,,,,,
Jovon Durante,FA,2019,Combine,72,165,31.13,8.75,4.55,4.31,7.00,31.5,120.0,
Devin Duvernay,BAL,2020,Combine,71,200,30.63,9.50,4.39,4.20,7.13,35.5,123.0,
Brennan Eagles,FA,2021,Pro Day,76,225,33.50,10.00,4.53,4.42,6.93,36.5,125.0,
Marcus Easley,FA,2010,Combine,74,217,32.75,8.50,4.39,4.60,6.94,34.0,123.0,16.0
Julian Edelman,FA,2009,Pro Day,70,198,,,4.52,3.92,6.62,36.5,123.0,14.0
Mike Edwards,FA,,Combine,71,200,,,4.56,4.18,6.94,36.0,124.0,14.0
Patrick Edwards,FA,2012,Combine,69,175,29.63,8.38,,,,,,
Armanti Edwards,FA,2010,Combine,73,198,,,4.41,,,,,
Bryan Edwards,ATL,2020,Combine,75,215,32.25,9.50,,,,,,
Bruce Ellington,FA,2014,Combine,69,200,31.00,9.63,4.45,3.95,6.69,39.5,120.0,15.0
Kevin Elliott,FA,2012,Pro Day,75,205,,,4.53,4.20,6.72,34.0,122.0,
Quincy Enunwa,FA,2014,Combine,74,225,32.63,9.50,4.45,,,,,19.0
Alex Erickson,FA,2016,Pro Day,72,195,,,4.54,4.10,6.68,34.5,116.0,14.0
Dee Eskridge,SEA,2021,Pro Day,69,190,30.50,8.63,4.38,4.22,6.95,35.0,124.0,0.0
Amba Etta-Tawo,FA,2017,Combine,73,208,32.00,9.13,4.49,4.32,6.95,31.0,126.0,14.0
Shaquelle Evans,FA,2014,Combine,73,210,32.00,9.38,4.51,4.21,7.07,34.5,122.0,13.0
Mike Evans,TB,2014,Combine,77,231,35.13,9.63,4.53,4.26,7.08,37.0,,12.0
Erik Ezukanma,MIA,2022,Combine,74,206,33.50,9.38,,4.38,,36.5,126.0,
Simi Fehoko,DAL,2021,Pro Day,75,222,31.38,10.25,4.43,4.26,6.78,34.25,120.0,16.0
Jazz Ferguson,FA,2019,Combine,77,227,34.25,9.25,4.45,4.59,7.25,37.0,123.0,8.0
Chris Finke,FA,2020,Combine,69,186,29.00,9.00,4.57,,,40.0,0.0,7.0
Larry Fitzgerald,FA,2004,Pro Day,75,218,,10.50,4.48,4.28,6.94,38.0,,
Dez Fitzpatrick,FA,2021,Pro Day,74,208,32.75,9.63,4.47,4.25,7.06,35.0,,
